result,value,unit
capital_cost_eur,18315471.41,EUR
total_opex_eur,17876418.567043595,EUR
total_cost_eur,36191889.9770436,EUR
total_energy_kwh_30yr,116008923.17304498,kWh
lcoe_eur_per_kwh,0.3119750531867095,EUR/kWh
