result,value,unit
capital_cost_eur,2331518.5312121212,EUR
total_opex_eur,14341030.107920123,EUR
total_cost_eur,16672548.639132245,EUR
total_energy_kwh_30yr,115466110.18860844,kWh
lcoe_eur_per_kwh,0.14439343814300512,EUR/kWh
